Address,Balance,Share
0x2892243b67fdeb90e4a7ef8f600f201672d99b5c,1300000,0.01
0x94c94b51b63895e2f2cf41ee102679b5fa7772cf,1264830.582,0.01
0xe723f2e91ad9f84595408a9f1688361e956722e2,1260000,0.01
0xa4f7e8b94b2b4ce143035df88eab7880db138778,1260000,0.01
0x1f2403f791fc5fd611b281fc568514fb13ff1f0a,1232194.56125,0.01
0xbdae7b15bf8fd2ec6eacf3fa908e9d8713da5dfb,1204000,0.01
0x2da269bff3e31390cb5ed494d8d5fd6494bdfc93,1229278.3114,0.01
0x037e3e4071f348272201852212bb7cf00ad81f6b,1200800,0.01
0x32f6c56f1370f3918794d7006bebd02122887f37,1194744,0.01
0x5e4d07e5db78c79ff51598e150e97fca50bd25f6,1181292,0.01
0x6c153feae296dd6f0249323cf597724a9ebfff33,1169540,0.01
0x1cffac13217326ceb669b020186cb848ad1ac912,1176000,0.01
0xe1eba51799fa89c5c85a0f5b997075f9e440ebe4,1156644.32393577,0.01
0x485694d284b96a03f7ee2165d69be42ccd0b71e1,1152835.04564,0.01
0xba091826ce6fa40ab0c7cf2388c7815f002995f3,1147545,0.01
0x0cca423ef93b398ea1a0dea5d51c52b409db099c,1125007,0.01
0xf2bcd45887531f7b51dfe1d5d297bc63ba22c6a2,1131381.989,0.01
0x95ba78d471ab8a8e319e5db159472801b262ef4d,1117720,0.01
0x455b67066fb1374e3893e0a5a5ecd3362f5897ee,1117186,0.01
0x15b8fa98b0000fd499d5b8c3e8de091fbd9a792f,1103353.025,0.01
0x0aa5c69eb392350c4ffd5ed7f4dc08a769ab392a,1092100.9577129646,0.01
0x1149b55640ab7c83bec8b3a086e056749770863d,1050097.0748200219,0.01
0xa72762c89a802887417bbaa92f652c6162f0a3ac,1050000,0.01
0xcd635e0b84b3cc98459e747c7d8d653d4b6a1c01,1045726.8,0.01
0xcdbc42fffb7e3a02a8846d091439a43e0a22dda3,1044749.732,0.01
0x910fbe903526fc991f54ba9a77613fe786b48faf,1036530.98866787,0.01
0x54ad731136df085e4b74b6256da93710968a2e20,1039700,0.01
0x09b22dc4b08b8a7e755f8ebf01877576ca3281ef,1033724.794,0.01
0x34667d379aa223ccb0c2d90ec946ba3fe2c9f5c1,1027498.84618,0.01
0x7ffca4cdbfb34026010786b2e9f501e228213c95,1026439.1,0.01
0x6e5be7e2107bb30124c01208a60ba3d5ac398980,1013940.952,0.01
0xc012857cb25e9420d9840c581adcf0a3c490cb41,1034330.441,0.01
0x0baaf5729efa16d3f02f7bb4c04f448485028cf3,1012639.951,0.01
0x83b2f895f9bb62a6137283b1e8b731b6af602605,1012155.2999999999,0.01
0x29db925482d15a237dfdb1deff043ee790bf8d19,1004219.5660000001,0.01
0x430ba8132441b8f583aa4473baab5120de2340ef,1003142.5519999999,0.01
0x5dba1d5c52a0884e1be2578ca0af59ac3bcb13f1,1013181,0.01
0x4d0f19f820963d2a5d5d81968b733a8db2283b17,1000634.596,0.01
0x87d169c0264a63711a1c80f77306c2689b9cb420,1000596.663,0.01
0x4a5736c5d857285dd11dc867536875861459f7f7,1000400.6900000001,0.01
0xc1952974d30dd086324c171a873e7294edca2854,1001069.1,0.01
0x64d282c34d17f332a6f9884c9b1eef6010815d38,1000000.632,0.01
0x35f05827f3df3a5c57bd7f5547d966c353282f9d,1000000,0.01
0x53097699f32f308001e3fdb3ba5efbd6152d45e2,999800,0.01
0x5064362bf123f84fd751b2b5351055ac9e764cf7,998253.799,0.01
0x431818065b5cc19b8097e303fcbf7c9b1652953e,997717.973,0.01
0x1e755688709feb0a5bf69f2a47b45d57d534737c,1000000,0.01
0xee903f65cffb0834994871df856591dbc21b5883,988003.5654180533,0.01
0x6259564ea8efcc39bd5896c60ada30072938fdee,984975.1799999999,0.01
0xcbb98c8497621f54f1f7e375aeece56e5ae6b005,979621,0.01
0xf796187bd623b2b369bb9df6f4ffeed9580f1f39,997623.897,0.01
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,3566600640.157268,35.67
0xd4b3dadd79cf633aa71057d34286a05b53d5bcec,539704861.111111,5.4
0x356df211c92d53a4e0ccfdd3125e87e8e570ef14,872207237.888889,8.72
0x01832c96c151d1e2be47dc971cd705a0b4952178,2500000000,25
0x87c9b05f25d42fa3af477e61fcdc74450d4d9d13,81036690,0.81
0x87def0cc7f520a931ce4d67aed8faabf4f15d2f1,92867275.2525,0.93
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,115043125.7470518,1.15
0xf948b2d02584a0727af9b1aa7d2421914f10d10a,74450601.21723948,0.74
0x5a1e405885cf6dbd835da44e68c3cd99ecbd5dcc,49990000,0.5
0x564286362092d8e7936f0549571a803b203aaced,61379083.66294864,0.61
0xd551234ae421e3bcba99a0da6d736074f22192ff,28116800.778825138,0.28
0xd4ce657bdb95abd8a9b245808cad6b1ed053593c,35686615,0.36
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,70327333.93671152,0.7
0x189563a8a03746b9106085445c47c464069866e7,30560363.18,0.31
0x8f190ca0b6f62242d2038ae9c244f439bd25f790,22500000,0.23
0x20312e96b1a0568ac31c6630844a962383cc66c2,31340181.50751126,0.31
0xfdb16996831753d5331ff813c29a93c76834a0ad,27542854.648682185,0.28
0x619c15c96223374c72b637eaad4055c82f7d6618,23600000,0.24
0x0109e2b77f6fdc7adc64a60fdfceb1e91232fb03,17174192,0.17
0x9cf837cbdf088c6fb2e0ffd8cc2571eab9710c95,20240000,0.2
0xf43a10c3beda94e4a2a20e12613058120298972c,21647205.406548582,0.22
0xdca1222d33a5ae1f37d052281e48381c0edcc58a,26300595.121323213,0.26
0x1bf10839a8cf970184b14ddebd17a69dc1957ba9,15000000,0.15
0x6992fc30e778a11c994b0a33089564a9e3672ca7,15722526.401,0.16
0xeee28d484628d41a82d01e21d12e2e78d69920da,21345426.647909753,0.21
0xd7fe554b1d08d6ee9fad927c89c9546077462f16,16560305.146159,0.17
